source_name,text,stance_hand_label,stance_topic_col,stance_str,topic,stance_score
NPR,"now under the leadership of Robert F. Kennedy Jr., whowas confirmed as secretaryon Thursday. In response to a request for comment on the cuts, Andrew Nixon, director of communications at HHS, wrote in an email to NPR: ""HHS is following the Administration's guidance and taking action to support the President's broader efforts to restructure and streamline the federal government. This is to ensure that HHS better serves the American people at the highest and most efficient standard."" The CDC's budget was$9.7 billionin fiscal year 2025. It's tasked with responding to infectious diseases, and public health emergencies such as the COVID pandemic, and safeguarding against other leading causes of death and illness. NIH, the world's large public funder of biomedical research, employs more than 18,000 workers and funds nearly $48 billion in scientific research outside the agency. Dr. Georges Benjamin, executive director of the American Public Health Association, called the cuts at the CDC ""indiscriminate, poorly-thought out layoffs"" that would be ""very destructive to the core infrastructure of public health."" At the CDC, the cuts also hit theEpidemic Intelligence Serviceofficer corps, where all those in the first year of their service were laid off, one of the CDC employees said. Members of the services, whom the CDC calls ""disease detectives,"" are often dispatched to investigate disease outbreaks and public health threats in the U.S. and overseas. ""CDC is the health warning system for the United States,"" says Katelyn Jetelina, an epidemiologist and author",AGAINST,stance_robert_f._kennedy_jr,AGAINST,robert_f._kennedy_jr,-1
The Ben Shapiro Show,"Folks. Well, yesterday, Luigi Mangione, who's the alleged shooter of the United Healthcare, CEO, he had been arrested in Altoona, Pennsylvania, and he was brought into the courthouse in Holidaysburg, Pennsylvania where he immediately began shouting at the press. It, it's not totally clear what he is saying here, but here is video of him emerging from a police car and being ushered into the jailhouse where he is being held pending his possible extradition to New York. He apparently is fighting that extradition. Here's what it sounded like yesterday As completely outta touch, insult the of the American people experience. Okay? So what he appears to be shouting there is it's an insult to the intelligence of the American people and their lived experience. It's not exactly clear what he is talking about right there. What, what is the insult that you've been arrested when the evidence is pretty clear that you are the person who shot to death? Brian Thompson, this United Health executive. I mean, what exactly is the insult to the lived experience is the idea that if you've had a bad experience with a health insurance company, this means that you now get to murder the head of the health insurance company. By the way, not even clear in this particular case that the alleged shooters health conditions had anything to do with United Health like nothing. In fact, it is unclear by whom he was insured. What we know as we discussed yesterday on the program is that this particular person, Manjii, he had had some sort of surfing accident where he had a really bad back injury that apparently left him in crippling pain and he had a surgery that is very often unsuccessful that implanted a series of pins in his",NONE,stance_united_states,NONE,united_states,0
The Ben Shapiro Show,"military service, which of course makes sense because if you are joining up so the taxpayers can fund your hormone and genital mutilation, then you really should not be in the US military. Again, there's not a question about patriotism. There are lots of patriotic people who can't serve in the American military. If you suffer, for example, from clinical depression, you're not supposed to be taken into the US military. There are plenty of mental conditions that prevent you from serving in the US military. It seems that gender dysphoria should be one of those conditions. President Trump signs executive orders on Monday barring trans people from enlisting and cracking down on DI initiatives in the military. According to NBC news, the order would update all DOD medical standards to ensure they prioritize readiness and lethality. It would also end the use of invented and identification based pronouns in the military prohibit people assigned male at birth from using women's sleeping, changing or bathing facilities and bar coverage of transition related medical care for currently enlisted service members and their family. Again, all of this makes perfect sense. If the goal of the military is not to be a social engineering project, but to actually be the deadliest fighting force on planet earth, there's no reason why you would in fact add to the mix of the US military people who have significant DSM and diagnosable conditions. This, of course, has led to the re Again, one of the things that Trump is doing here is he's picking up 80 20 issues and he's clubbing Democrats with them and basically daring them to resist him, and Democrats are going forward. They dare. Here's state representative Le Thinky who's transgender, meaning a",AGAINST,stance_LGBTQ,AGAINST,LGBTQ,-1
Huberman Lab,"getting over our shame, but also experiencing life in much more fullness and, and being able to cultivate our craft and be more present for ourselves and for others, is a process of going right up to that lighthouse window and looking at the stain and going, that's what it is. And that's the process of wiping it off. Now that's all, you know, that, that's just a, an illustration for us to understand what I think is the process you're describing, which is that you get right up next to your worst nightmares, your worst mistakes, the things you don't want to think about. And in doing so, you learn to relax in their presence and they sort of disappear as points of shame. Yeah, it was interesting when I, when I wrote The Art of Learning, it was in many ways cathartic for me because there were parts of my life that, that I had felt like I had let myself down. Like there were, there were parts like, like my Chess life, I i I moved away from. And like, there were certain moments of it where I felt like I hadn't fully expressed my potential and I just wrote them all. I just shared it all. And it was, it was so beautiful, it was so cathartic. When I think about leadership, I think that it's so important to like, leading with vulnerability is such an exquisite, I spent Joe Missoula and I spent the day a couple days ago with Sean McVey, who's the head coach of LA Rams, who just, just a few days after this big, the big loss against the Eagles. And we had this, we actually ended up watching the tape. It was his first watching of the tape",NONE,stance_united_states,NONE,united_states,0
The Ramsey Show,"like, you're doing so many incredible things. So is your thought process, because we are becoming more of a united team within our marriage, how is that gonna correlate to bringing in more business? Just like how, is just because you guys, just because you guys are just a great team, is that what you're thinking? Like, we're just in a healthier spot, so it's going to show up in the business? Yes. Okay. Yes. Okay. Yeah. So I Please don't do, please don't do that. I, I would, yeah. I I'm gonna need more evidence, business evidence, not relational evidence that this business is really taking off. Because my hope is, is that it will. But I think you need to see numbers, Jessica, first and foremost in order to, to make this proclamation that like Yes, it, it's incredible. Right? So giving it another, you know, 12 months. 'cause you guys, how much are you guys making a year off of it? How much are you paying yourselves? Like how much will you make this year? So We, we are paying ourselves and with those numbers that we paying ourselves, the 6,000, 6,000 total A month, I'm sorry, a month. A month between the both of you total or each individually? 6,000 Between the both of us total. Okay. Your bills Are 6,000. Yeah. How are you, how are you paying your bills? How are you guys eating? So that the, what we're paying ourselves with what we're paying ourselves, like, we're just barely, barely, Barely getting by, sticking at home. Okay. Yeah. Okay. So what I would do, I'm trying to think if I woke up in your shoes And you have this belief, 'cause you've put so much sweat equity into this",NONE,stance_united_states,NONE,united_states,0
Stuff You Should Know,"Got that backwards probably the other way. I thought Slayton was the made up thing. Not daal Slayton. If it was like slay to maybe Yeah, I had that reverse. But he made a model of the observable universe. Did you see the video of this? Of I did. Of his explanation. Yeah. He, it wasn't like he was like, oh, I'm gonna draw this in Minecraft the kid did the physics required to create the models of the universe. I mean like everything from like nebula to galaxies to the sun. Like you can zoom into pixels on the sun. It's just one of the most impressive things I've ever seen in my entire life. Would that be a photon? I guess so. It'd be a one kilometer square photon If all that wasn't cool enough. In 2020, the group Reporters Without Borders started a project called Uncensored Library. And this, this is amazing in places like Saudi Arabia and Russia where the real news is like censored or, or you don't have access to these news sites. They are burying news inside the Minecraft world because you can play Minecraft there. Yeah. They, they write books or they create books that have these articles in them. Isn't that Cool? Just unbelievably cool. There's another thing too. I mentioned a kid who made a calculator. You can arrange these red, this red like ore basically and make things into logic gates on off if then that kind of stuff. And If, you make If, you arrange different logic gates together. You can create computers and there was somebody who created a computer that plays Minecraft in Minecraft like you. Wow. Go onto Minecraft, go over to that computer and play Minecraft on that computer that",AGAINST,stance_russia,NONE,russia,0
NPR,"UNITE HERE canvasser Wernel Martinez crosses a street in the Philadelphia suburb of Norristown after a long day of knocking on voters' doors.Andrea Hsu/NPRhide caption As November 5 draws closer, labor unions are blanketing swing states with tens of thousands of canvassers, deploying far more resources than in past elections in a bid to get the labor-friendly ticket of Kamala Harris and Tim Walz elected. Some of the outreach is directly targeting union workers, active and retired, who along with their household members make up an estimated one in five voters in Michigan, Wisconsin, and Pennsylvania, according to the AFL-CIO. The American Federation of Teachers has sent hundreds of its members from New York to Pennsylvania and from Illinois to Wisconsin to canvass ""labor doors."" The United Auto Workers has similarly deployed union members to fellow members' homes and work sites, in addition to an aggressive phone, text and mail campaign. ""When members hear directly from other members about what's at stake and which candidate will have their backs, we're able to break through,"" said UAW president Shawn Fain in a statement. In Philadelphia and surrounding suburbs, the hospitality union UNITE HERE is going beyond union members, focusing primarily on Black and Latino voters in working-class communities, whom the union has identified as least likely to vote. The union says it's deploying some 2,000 canvassers across ten states in 2024, a five-fold increase from 2016. ""Some Latinos know nothing about Kamala,"" says Wernel Martinez, a hotel worker from Orlando who was hired by UNITE HERE to knock on doors in Pennsylvania. Wernel Martinez was hired by UNITE HERE as part of its",NONE,stance_kamala_harris,FAVOR,kamala_harris,1
Shawn Ryan Show,"no, we don't, we don't need to make that choice. We can do technology that does both. And so that was really the first incubation by the Founder's Fund team to say, let's actually solve a national security problem through technology and let's work with the government really closely to build out the tools that are gonna help us trade information between different departments in a really secure way with privacy controls and make sure that something like nine 11 never happens again. So Yeah, we Founder fund started transitioning from maybe more of the consumer internet sort of world coming outta the PayPal experience in 2005 to then by, you know, helping incubate pull together the, the Palantir team 2008 comes around and SpaceX is now going through its launches, had a couple launches that didn't work, but was on a great trajectory to actually get the next ones to work. And Founders Fund stepped up to lead one of the critical rounds in SpaceX to help it have the money to do those, those additional final launches and keep momentum through that. And then by 2011, really starting to think a lot about, you know, not only is there this core element of backing founders and running their companies, but how do we invest in things that aren't, you know, there's gonna be a bunch of important companies that are built in consumer internet and in enterprise software, but how do we back things that otherwise won't happen? These core technologies, whether they might be biotechnology, they might be energy, they might be space, things that are maybe even controversial at times. Defense technology, like with Andel at the time, nobody wanted to invest into defense in Silicon Valley. And even Google was canceling",NONE,stance_united_states,NONE,united_states,0
The Tucker Carlson Show,"were justified. I mean, Kent State, you know, these kids got shot and all that. But I thought also that a lot of the participation in the protests was kind of indulgent and faddish. And, you know, it, it was a fun thing to be doing. It was a part of a kind of manufactured alienation that I didn't share. You know, I wasn't about to burn my draft current. The guys that I was working with, most of them were ethnic at the printing plant. Most of them were, you know, Italian or Irish or Jewish or Polish or Greek, second generation immigrants to the United States. And they were pretty conservative. But there was the black power stuff that was going on as well in those years. And I was enmeshed in that on the south side of Chicago and had family members who were pretty radical. So, you know, I, I was a, if you had to gimme a label, I would've been left of center. I would've been a liberal, but I was mainly a nerd. What did your radical relatives think of your life path? Of my, Of your life? Path of go, you know, going to college, Studying. Oh, they were proud of me, you know. Well, okay. I, I graduated with a very strong academic record from the high school. I got a scholarship to study at the Illinois Institute of Technology. My girlfriend, who became my wife and the mother of my two first two children had dropped out of high school to give birth. And they were worried that I was going to lose my way. So when I, and my father, my mother and father broke up when I was quite young, five years old. But my dad",NONE,stance_united_kingdom,NONE,united_kingdom,0
Candace,"read you some of these mixed reactions on Instagram. This user wrote, this is how you try and destroy someone through insidious rumors. And then later God finds a way to vindicate the flock of pariahs. Honestly, I'm not a fan of hers, but come on, this next person writes. She was hoping to get it. Ha ha ha. Candace is a truth teller. Hashtag Christ is king. This person writes, wow. And she had some serious competition. I did. This person writes Israel rating American citizens by how well behaved they are the nerve of these people. This person says the truth doesn't make you anti anything. She's a hero. Only genocide supporters would call her an anti-Semites. The truth will get you canceled. Candace is great. Israel should be marked as anti-Christian of the year after what they did in Syria. So it's not going well. I would say for like the pro-Israel lobby, people are not falling for this sort of a thing. But it's interesting to see that they have not stopped the onslaught of slander and libel this entire year when any person just wants them to practically debate why it is that America should be married to the foreign policy aims of BB net and Yahoo and the Likud party. It makes entirely no sense. It's interesting If you just actually reflect and Think about this though, years ago and by years ago, I would say, if I could pinpoint it at eight years ago, it really mattered if someone called you a white supremacist, like the idea of being called a white supremacist or being called a racist. It was so shocking and jarring to someone you would do anything to correct the record.",FAVOR,stance_religion,FAVOR,religion,1
