filename,podcast_name,episode_title,publish_date
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Campus Mystery Unraveled (130).txt,48 Hours,A Campus Mystery Unraveled,2025-01-30
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Conviction In Question (64).txt,48 Hours,A Conviction In Question,2025-06-04
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Cop Behind Bars (117).txt,48 Hours,A Cop Behind Bars,2025-01-17
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Day Care Worker Convicted of Murder (47).txt,48 Hours,A Day Care Worker Convicted of Murder,2025-04-07
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Deadly Cover-Up (8132024).txt,48 Hours,A Deadly Cover-Up,2024-08-13
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Deadly Family Secret (212).txt,48 Hours,A Deadly Family Secret,2025-02-12
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Family Affair (51).txt,48 Hours,A Family Affair,2025-05-01
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Fight for Freedom (25).txt,48 Hours,A Fight for Freedom,2025-02-05
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Look-A-Like Killer (7232024).txt,48 Hours,A Look-A-Like Killer,2024-07-23
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Love Affair Turned Deadly (11).txt,48 Hours,A Love Affair Turned Deadly,2025-01-01
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Mother Accused (103).txt,48 Hours,A Mother Accused,2024-10-03
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Murder on Cape Cod (782024).txt,48 Hours,A Murder on Cape Cod,2024-07-08
C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Parents Worst Nightmare (619).txt,48 Hours,A Parents Worst Nightmare,2025-06-19
"C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Preachers Secret, Part 1 (49).txt",48 Hours,"A Preachers Secret, Part 1",2025-04-09
"C:\Users\sfont\podcast-project\data\podcasts\48-hours\A Preachers Secret, Part 2 (410).txt",48 Hours,"A Preachers Secret, Part 2",2025-04-10
